Timestamp,Open,High,Low,Close
1649781600,282.859,282.866,282.829,282.833
1649781660,282.835,282.864,282.815,282.815
1649781720,282.821,282.838,282.795,282.812
1649781780,282.812,282.828,282.782,282.825
1649781840,282.82,282.822,282.768,282.814
1649781900,282.812,282.841,282.767,282.807
1649781960,282.805,282.832,282.787,282.832
1649782020,282.835,282.879,282.833,282.843
1649764140,283.922,283.939,283.895,283.932
1649764200,283.941,283.956,283.918,283.933
1649764260,283.933,283.977,283.864,283.864
1649764320,283.864,283.864,283.751,283.764
1649764380,283.769,283.779,283.673,283.688
1649764440,283.686,283.696,283.637,283.648
1649764500,283.648,283.669,283.562,283.567
1649764560,283.567,283.568,283.48,283.507
1649764620,283.503,283.551,283.503,283.523
1649764680,283.523,283.526,283.488,283.503
1649764740,283.503,283.559,283.465,283.555
1649764800,283.558,283.589,283.515,283.518
1649764860,283.516,283.559,283.496,283.553
1649764920,283.555,283.564,283.519,283.545
1649764980,283.547,283.552,283.487,283.5
1649765040,283.497,283.504,283.475,283.484
1649765100,283.484,283.497,283.464,283.471
1649765160,283.471,283.493,283.433,283.485
1649765220,283.485,283.492,283.421,283.464
1649765280,283.464,283.522,283.457,283.487
1649765340,283.485,283.503,283.451,283.503
1649765400,283.503,283.627,283.503,283.604
1649765460,283.604,283.626,283.592,283.618
1649765520,283.618,283.648,283.589,283.608
1649765580,283.608,283.638,283.572,283.58
1649765640,283.58,283.616,283.526,283.526
1649765700,283.531,283.579,283.5,283.577
1649765760,283.583,283.598,283.56,283.593
1649765820,283.593,283.642,283.593,283.628
1649765880,283.633,283.653,283.605,283.612
1649765940,283.617,283.647,283.611,283.637
1649766000,283.635,283.673,283.616,283.653
1649766060,283.653,283.727,283.649,283.683
1649766120,283.685,283.749,283.673,283.685
1649766180,283.68,283.691,283.642,283.647
1649766240,283.642,283.655,283.572,283.575
1649766300,283.575,283.602,283.563,283.585
1649766360,283.585,283.59,283.536,283.566
1649766420,283.569,283.575,283.503,283.506
1649766480,283.506,283.54,283.462,283.498
1649766540,283.497,283.519,283.478,283.495
1649766600,283.495,283.518,283.482,283.517
1649766660,283.519,283.52,283.434,283.437
1649766720,283.439,283.521,283.434,283.521
1649766780,283.521,283.541,283.503,283.532
1649766840,283.534,283.539,283.463,283.499
1649766900,283.499,283.574,283.489,283.523
1649766960,283.52,283.531,283.456,283.512
1649767020,283.514,283.65,283.508,283.647
1649767080,283.647,283.678,283.631,283.678
1649767140,283.678,283.689,283.621,283.634
1649767200,283.636,283.644,283.588,283.616
1649767260,283.618,283.651,283.605,283.628
1649767320,283.633,283.644,283.592,283.639
1649767380,283.636,283.68,283.636,283.68
1649767440,283.676,283.684,283.602,283.621
1649767500,283.623,283.72,283.607,283.717
1649767560,283.717,283.753,283.654,283.663
1649767620,283.663,283.683,283.557,283.56
1649767680,283.562,283.588,283.551,283.558
1649767740,283.556,283.579,283.492,283.492
1649767800,283.492,283.492,283.448,283.469
1649767860,283.469,283.515,283.426,283.427
1649767920,283.425,283.47,283.369,283.47
1649767980,283.47,283.491,283.41,283.439
1649768040,283.439,283.44,283.409,283.43
1649768100,283.438,283.5,283.438,283.47
1649768160,283.47,283.509,283.424,283.487
1649768220,283.487,283.537,283.476,283.523
1649768280,283.527,283.552,283.492,283.55
1649768340,283.55,283.583,283.527,283.574
1649768400,283.569,283.607,283.553,283.607
1649768460,283.609,283.679,283.609,283.679
1649768520,283.68,283.736,283.678,283.725
1649768580,283.721,283.724,283.672,283.694
1649768640,283.688,283.749,283.683,283.711
1649768700,283.713,283.752,283.687,283.73
1649768760,283.735,283.776,283.692,283.752
1649768820,283.75,283.814,283.746,283.795
1649768880,283.795,283.832,283.751,283.823
1649768940,283.821,283.825,283.786,283.809
1649769000,283.809,283.901,283.809,283.884
1649769060,283.884,283.889,283.833,283.842
1649769120,283.84,283.878,283.826,283.872
1649769180,283.872,283.875,283.817,283.828
1649769240,283.828,283.858,283.817,283.829
1649769300,283.829,283.829,283.763,283.768
1649769360,283.766,283.779,283.73,283.739
1649769420,283.739,283.765,283.706,283.713
1649769480,283.71,283.759,283.687,283.756
1649769540,283.758,283.786,283.704,283.706
1649769600,283.706,283.722,283.67,283.704
1649769660,283.706,283.725,283.68,283.68
1649769720,283.677,283.698,283.613,283.615
1649769780,283.615,283.64,283.559,283.571
1649769840,283.579,283.626,283.518,283.626
1649769900,283.629,283.679,283.609,283.671
1649769960,283.67,283.698,283.643,283.68
1649770020,283.678,283.754,283.676,283.753
1649770080,283.755,283.767,283.701,283.727
1649770140,283.729,283.731,283.66,283.662
1649770200,283.664,283.729,283.653,283.71
1649770260,283.71,283.773,283.701,283.759
1649770320,283.759,283.802,283.739,283.739
1649770380,283.741,283.807,283.732,283.792
1649770440,283.792,283.826,283.768,283.811
1649770500,283.815,283.834,283.806,283.809
1649770560,283.809,283.809,283.751,283.789
1649770620,283.789,283.806,283.765,283.803
1649770680,283.803,283.826,283.775,283.826
1649770740,283.828,283.848,283.805,283.816
1649770800,283.816,283.878,283.816,283.855
1649770860,283.855,283.89,283.838,283.889
1649770920,283.893,283.899,283.826,283.839
1649770980,283.849,283.898,283.83,283.898
1649771040,283.898,284.012,283.897,284.005
1649771100,284.008,284.013,283.955,283.964
1649771160,283.966,283.966,283.922,283.941
1649771220,283.943,283.966,283.924,283.965
1649771280,283.965,283.981,283.918,283.919
1649771340,283.917,283.927,283.846,283.87
1649771400,283.868,283.901,283.82,283.837
1649771460,283.835,283.853,283.8,283.819
1649771520,283.818,283.819,283.741,283.747
1649771580,283.745,283.81,283.695,283.797
1649771640,283.797,283.852,283.767,283.841
1649771700,283.841,283.858,283.794,283.821
1649771760,283.818,283.831,283.794,283.807
1649771820,283.807,283.807,283.75,283.753
1649771880,283.753,283.786,283.739,283.775
1649771940,283.775,283.812,283.763,283.808
1649772000,283.808,283.846,283.797,283.799
1649772060,283.799,283.809,283.755,283.804
1649772120,283.808,283.813,283.76,283.772
1649772180,283.772,283.809,283.745,283.745
1649772240,283.751,283.751,283.68,283.689
1649772300,283.689,283.689,283.616,283.619
1649772360,283.617,283.687,283.611,283.684
1649772420,283.682,283.768,283.65,283.768
1649772480,283.767,283.78,283.697,283.714
1649772540,283.714,283.714,283.578,283.583
1649772600,283.583,283.61,283.547,283.559
1649772660,283.556,283.58,283.539,283.546
1649772720,283.559,283.58,283.532,283.572
1649772780,283.572,283.572,283.496,283.496
1649772840,283.496,283.523,283.489,283.504
1649772900,283.502,283.533,283.465,283.518
1649772960,283.518,283.53,283.485,283.497
1649773020,283.497,283.536,283.475,283.483
1649773080,283.483,283.49,283.408,283.446
1649755200,284.227,284.257,284.189,284.233
1649755260,284.233,284.245,284.195,284.208
1649755320,284.197,284.239,284.156,284.234
1649755380,284.234,284.291,284.215,284.235
1649755440,284.235,284.25,284.185,284.189
1649755500,284.188,284.206,284.14,284.144
1649755560,284.144,284.206,284.119,284.159
1649755620,284.162,284.233,284.145,284.217
1649755680,284.217,284.238,284.155,284.17
1649755740,284.174,284.246,284.174,284.238
1649755800,284.235,284.273,284.232,284.236
1649755860,284.236,284.275,284.187,284.197
1649755920,284.207,284.228,284.172,284.182
1649755980,284.184,284.235,284.184,284.198
1649756040,284.198,284.227,284.162,284.183
1649756100,284.185,284.265,284.182,284.211
1649756160,284.213,284.226,284.177,284.212
1649756220,284.217,284.247,284.2,284.231
1649756280,284.231,284.244,284.191,284.233
1649756340,284.238,284.321,284.236,284.311
1649756400,284.306,284.388,284.306,284.388
1649756460,284.388,284.426,284.372,284.415
1649756520,284.415,284.471,284.404,284.427
1649756580,284.424,284.453,284.398,284.411
1649756640,284.411,284.482,284.379,284.476
1649756700,284.476,284.488,284.419,284.441
1649756760,284.446,284.52,284.446,284.517
1649756820,284.517,284.558,284.501,284.532
1649756880,284.533,284.548,284.501,284.548
1649756940,284.546,284.548,284.486,284.493
1649757000,284.496,284.545,284.449,284.534
1649757060,284.534,284.555,284.493,284.493
1649757120,284.49,284.496,284.465,284.49
1649757180,284.49,284.494,284.435,284.468
1649757240,284.468,284.544,284.467,284.511
1649757300,284.513,284.515,284.434,284.435
1649757360,284.435,284.475,284.399,284.475
1649757420,284.477,284.536,284.474,284.522
1649757480,284.507,284.555,284.484,284.489
1649757540,284.489,284.492,284.431,284.452
1649757600,284.458,284.458,284.4,284.4
1649757660,284.398,284.398,284.332,284.352
1649757720,284.348,284.372,284.319,284.372
1649757780,284.369,284.378,284.321,284.334
1649757840,284.334,284.368,284.329,284.355
1649757900,284.355,284.396,284.324,284.331
1649757960,284.327,284.327,284.224,284.234
1649758020,284.227,284.265,284.2,284.207
1649758080,284.207,284.211,284.152,284.186
1649758140,284.188,284.189,284.131,284.169
1649758200,284.171,284.176,284.135,284.167
1649758260,284.167,284.173,284.076,284.076
1649758320,284.074,284.095,284.05,284.073
1649758380,284.071,284.111,284.064,284.091
1649758440,284.091,284.119,284.043,284.048
1649758500,284.046,284.06,284.001,284.038
1649758560,284.038,284.038,283.953,284.026
1649758620,284.03,284.051,283.994,284.011
1649758680,284.011,284.023,283.965,283.977
1649758740,283.979,284.045,283.958,284.035
1649758800,284.028,284.045,284.012,284.037
1649758860,284.035,284.072,284.031,284.062
1649758920,284.061,284.077,284.013,284.019
1649758980,284.029,284.057,284,284.006
1649759040,284.002,284.042,283.93,283.934
1649759100,283.934,283.973,283.901,283.907
1649759160,283.903,283.905,283.843,283.861
1649759220,283.864,283.925,283.852,283.855
1649759280,283.855,283.863,283.817,283.856
1649759340,283.856,284,283.856,283.998
1649759400,283.998,284.032,283.982,284.02
1649759460,284.013,284.013,283.927,283.949
1649759520,283.949,283.988,283.944,283.948
1649759580,283.95,284.001,283.941,283.968
1649759640,283.968,283.972,283.945,283.954
1649759700,283.956,284,283.94,283.955
1649759760,283.955,283.977,283.911,283.912
1649759820,283.911,283.971,283.909,283.971
1649759880,283.969,283.993,283.934,283.976
1649759940,283.972,284.014,283.969,284.005
1649760000,284,284.033,283.979,284
1649760060,283.998,284.044,283.995,284.013
1649760120,284.015,284.017,283.982,283.994
1649760180,283.994,284.016,283.962,284
1649760240,284,284.046,283.994,284.03
1649760300,284.03,284.081,284.027,284.048
1649760360,284.051,284.093,284.051,284.093
1649760420,284.093,284.133,284.041,284.045
1649760480,284.045,284.1,284.033,284.087
1649760540,284.087,284.125,284.059,284.125
1649760600,284.123,284.144,284.04,284.04
1649760660,284.04,284.042,283.98,283.983
1649760720,283.981,284.015,283.966,283.973
1649760780,283.974,284.026,283.964,283.97
1649760840,283.966,284.01,283.966,283.987
1649760900,283.985,284.007,283.967,283.99
1649760960,283.99,284.052,283.974,284.042
1649761020,284.037,284.044,283.937,283.937
1649761080,283.938,283.954,283.918,283.944
1649761140,283.946,283.98,283.892,283.921
1649761200,283.925,283.925,283.794,283.815
1649761260,283.817,283.819,283.781,283.819
1649761320,283.819,283.884,283.816,283.832
1649761380,283.835,283.859,283.82,283.852
1649761440,283.852,283.856,283.764,283.8
1649761500,283.8,283.85,283.795,283.833
1649761560,283.84,283.882,283.828,283.87
1649761620,283.87,283.881,283.819,283.875
1649761680,283.875,283.935,283.875,283.917
1649761740,283.921,283.921,283.801,283.808
1649761800,283.81,283.879,283.798,283.845
1649761860,283.845,283.856,283.793,283.811
1649761920,283.809,283.862,283.774,283.822
1649761980,283.824,283.911,283.824,283.897
1649762040,283.897,283.922,283.871,283.871
1649762100,283.877,283.886,283.833,283.855
1649762160,283.856,283.862,283.803,283.862
1649762220,283.86,283.925,283.855,283.922
1649762280,283.924,283.966,283.913,283.923
1649762340,283.925,283.99,283.92,283.962
1649762400,283.964,283.986,283.928,283.951
1649762460,283.951,283.986,283.934,283.969
1649762520,283.973,284.05,283.973,284.044
1649762580,284.047,284.13,284.044,284.128
1649762640,284.114,284.146,284.064,284.064
1649762700,284.051,284.144,284.031,284.126
1649762760,284.126,284.126,284.074,284.103
1649762820,284.103,284.179,284.085,284.177
1649762880,284.175,284.199,284.153,284.199
1649762940,284.199,284.251,284.194,284.244
1649763000,284.246,284.25,284.152,284.176
1649763060,284.176,284.221,284.175,284.211
1649763120,284.211,284.234,284.195,284.222
1649763180,284.225,284.254,284.202,284.206
1649763240,284.206,284.239,284.185,284.237
1649763300,284.238,284.262,284.181,284.204
1649763360,284.204,284.234,284.184,284.221
1649763420,284.219,284.245,284.164,284.175
1649763480,284.173,284.184,284.117,284.144
1649763540,284.141,284.157,284.049,284.058
1649763600,284.055,284.057,284.023,284.036
1649763660,284.037,284.046,283.969,283.977
1649763720,283.975,284.002,283.933,283.934
1649763780,283.932,283.946,283.889,283.938
1649763840,283.936,283.96,283.893,283.955
1649763900,283.955,283.956,283.894,283.896
1649763960,283.893,283.899,283.864,283.875
1649764020,283.88,283.91,283.857,283.864
1649764080,283.864,283.922,283.844,283.922
1649764140,283.922,283.939,283.895,283.932
1649746260,285.4,285.457,285.397,285.416
1649746320,285.416,285.426,285.378,285.391
1649746380,285.394,285.417,285.373,285.396
1649746440,285.397,285.397,285.34,285.353
1649746500,285.353,285.355,285.296,285.351
1649746560,285.351,285.378,285.326,285.339
1649746620,285.339,285.365,285.309,285.365
1649746680,285.365,285.365,285.295,285.305
1649746740,285.309,285.323,285.253,285.313
1649746800,285.313,285.357,285.291,285.324
1649746860,285.324,285.33,285.274,285.294
1649746920,285.295,285.337,285.282,285.322
1649746980,285.319,285.371,285.3,285.3
1649747040,285.3,285.302,285.256,285.287
1649747100,285.291,285.297,285.194,285.224
1649747160,285.225,285.287,285.213,285.246
1649747220,285.246,285.309,285.231,285.3
1649747280,285.301,285.348,285.3,285.328
1649747340,285.325,285.392,285.319,285.389
1649747400,285.391,285.406,285.347,285.364
1649747460,285.361,285.374,285.34,285.358
1649747520,285.355,285.369,285.31,285.321
1649747580,285.318,285.337,285.264,285.265
1649747640,285.267,285.276,285.219,285.268
1649747700,285.268,285.339,285.268,285.326
1649747760,285.326,285.331,285.295,285.308
1649747820,285.308,285.32,285.283,285.294
1649747880,285.294,285.309,285.228,285.262
